id;created_at;Proteina;TipoCocionProteina;Complemento;Descripcion
18;2025-08-24;Jamón y Queso;;con Empanada de Maiz;Jamón y Queso  con Empanada de Maiz
19;2025-08-24;Jamón y Queso;;con Tortillas en emparedado ;Jamón y Queso  con Tortillas en emparedado 
20;2025-08-24;Jamón y Queso;;con Empanada de Arina;Jamón y Queso  con Empanada de Arina
21;2025-08-24;Jamón y Queso;;con Toritlla para Tacos;Jamón y Queso  con Toritlla para Tacos
22;2025-08-24;Jamón y Queso;;con Pan;Jamón y Queso  con Pan
23;2025-08-24;Pepperoni y Queso;Dip de Pizza;con Galletas;Pepperoni y Queso Dip de Pizza con Galletas
24;2025-08-24;Pepperoni y Queso;;con Pan ;Pepperoni y Queso  con Pan 
25;2025-08-24;Pepperoni y Queso;;con Tortillas en emparedado ;Pepperoni y Queso  con Tortillas en emparedado 
42;2025-08-24;Salchichas / Carne de Res;Carne Molida;con Pan ;Salchichas / Carne de Res Carne Molida con Pan 
43;2025-08-24;Tuna;Dip de Tuna;con Galleta ;Tuna Dip de Tuna con Galleta 
44;2025-08-24;Tuna;Dip de Tuna;con Pan ;Tuna Dip de Tuna con Pan 
